Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,5,8,1-6028,2,1,0,2,2.600788712501526,1.300394356250763
564,564,564,564,564,564,564,564,564,564,564,564,564,564,1-9034,11,13,1-9034,3,2,0,1,2.800394356250763,0.933464785416921
195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-2670,1,19,1-2670,104,96,0,1,96.80039435625076,0.9307730226562574
163,163,163,163,163,163,163,163,163,163,163,163,163,163,1-9137,9,18,1-9137,111,98,0,5,102.00197178125381,0.9189366827139983
20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,11,13,1-5167,24,22,0,0,22.0,0.9166666666666666
377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,3,21,1-7213,23,2,0,22,19.608675837516785,0.852551123370295
431,431,431,431,431,431,431,431,431,431,431,431,431,431,1-7614,2,22,1-7614,72,3,0,72,60.62839365005493,0.8420610229174296
547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,18,12,MLG67,27,17,0,7,22.60276049375534,0.8371392775464941
438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,3,21,MLG10,60,15,0,43,49.416957318782806,0.8236159553130468
425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,10,10,1-6006,57,42,0,6,46.80236613750458,0.8210941427632382
21,21,21,21,21,21,21,21,21,21,21,21,21,21,1-3519,18,12,1-3519,27,22,0,0,22.0,0.8148148148148148
432,432,432,432,432,432,432,432,432,432,432,432,432,432,1-6914,15,24,1-6914,73,1,0,72,58.62839365005493,0.8031286801377387
274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,3,21,1-0033,10,4,0,5,8.001971781253815,0.8001971781253815
176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,5,8,1-8042,52,28,0,17,41.60670405626297,0.8001289241589032
409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,7,9,1-9645,69,23,0,39,54.215379893779755,0.7857301433881124
301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,3,21,1-1177,17,2,0,14,13.205520987510681,0.7767953522065106
78,78,78,78,78,78,78,78,78,78,78,78,78,78,1-4088,13,20,1-4088,30,23,0,0,23.0,0.7666666666666667
130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,14,6,1-1833,124,87,0,8,93.4031548500061,0.7532512487903718
