Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,7,MLG45,70,25,1,13,1030.9214904010296,14.72744986287185
4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,7,1-6240,698,75,1,104,1122.3719232082367,1.6079826980060699
454,454,454,454,454,454,454,454,454,454,454,454,1-0272,9,13,1-0272,111,54,0,33,69.0314756333828,0.6219051858863315
462,462,462,462,462,462,462,462,462,462,462,462,1-1183,13,12,1-1183,45,6,0,45,26.497466772794724,0.5888325949509938
140,140,140,140,140,140,140,140,140,140,140,140,1-2294,4,14,1-2294,75,40,0,7,43.188494831323624,0.5758465977509817
131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,6,1-9283,235,96,0,62,124.24095422029495,0.5286849115757232
411,411,411,411,411,411,411,411,411,411,411,411,MLG15,8,19,MLG15,105,30,0,54,54.59696012735367,0.5199710488319397
438,438,438,438,438,438,438,438,438,438,438,438,MLG10,17,18,MLG10,60,29,0,4,30.821997046470642,0.5136999507745107
389,389,389,389,389,389,389,389,389,389,389,389,1-0278,8,19,1-0278,79,27,0,29,40.209478586912155,0.508980741606483
470,470,470,470,470,470,470,470,470,470,470,470,1-1204,2,8,1-1204,39,2,0,39,19.76447120308876,0.5067813128997118
302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,12,MLG51,248,90,0,75,124.16244462132454,0.5006550186343731
300,300,300,300,300,300,300,300,300,300,300,300,1-4020,17,18,1-4020,37,16,0,4,17.821997046470642,0.4816755958505579
322,322,322,322,322,322,322,322,322,322,322,322,1-0296,18,6,1-0296,41,8,0,25,19.387481540441513,0.47286540342540273
483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,7,1-9491,80,26,0,21,35.56548449397087,0.44456855617463586
124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,7,1-8427,189,45,0,84,83.26193797588348,0.4405393543697539
246,246,246,246,246,246,246,246,246,246,246,246,MLG56,4,14,MLG56,511,131,0,199,221.64435306191444,0.43374628779239616
399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,11,MLG60,47,19,0,3,20.36649778485298,0.4333297401032549
217,217,217,217,217,217,217,217,217,217,217,217,1-9630,7,2,1-9630,33,14,0,0,14.0,0.42424242424242425
305,305,305,305,305,305,305,305,305,305,305,305,1-7866,2,8,1-7866,318,59,0,148,126.41389071941376,0.3975279582371502
536,536,536,536,536,536,536,536,536,536,536,536,1-9971,18,6,1-9971,15,5,0,2,5.910998523235321,0.3940665682156881
387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,7,1-10539,63,9,0,34,24.486974895000458,0.38868214119048344
332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,7,MLG78,80,28,0,5,30.277496308088303,0.37846870385110376
501,501,501,501,501,501,501,501,501,501,501,501,1-18487,17,18,1-18487,23,8,0,1,8.45549926161766,0.36763040267902874
209,209,209,209,209,209,209,209,209,209,209,209,1-9938,15,11,1-9938,55,15,0,11,20.010491877794266,0.36382712505080483
388,388,388,388,388,388,388,388,388,388,388,388,MLG49,13,12,MLG49,185,49,0,39,66.76447120308876,0.3608890335302095
286,286,286,286,286,286,286,286,286,286,286,286,1-3587,3,20,1-3587,46,12,0,10,16.554992616176605,0.3598911438299262
558,558,558,558,558,558,558,558,558,558,558,558,1-0055,20,7,1-0055,18,6,0,1,6.4554992616176605,0.3586388478676478
353,353,353,353,353,353,353,353,353,353,353,353,MLG50,7,2,MLG50,319,114,0,0,114.0,0.3573667711598746
261,261,261,261,261,261,261,261,261,261,261,261,1-1942,5,10,1-1942,34,3,0,20,12.10998523235321,0.35617603624568267
210,210,210,210,210,210,210,210,210,210,210,210,1-7842,13,12,1-7842,21,1,0,14,7.376989662647247,0.3512852220308213
357,357,357,357,357,357,357,357,357,357,357,357,1-4760,2,8,1-4760,40,8,0,13,13.921490401029587,0.34803726002573965
241,241,241,241,241,241,241,241,241,241,241,241,1-19448,16,7,1-19448,45,12,0,8,15.643994092941284,0.347644313176473
167,167,167,167,167,167,167,167,167,167,167,167,1-4929,20,7,1-4929,10,3,0,1,3.4554992616176605,0.34554992616176605
122,122,122,122,122,122,122,122,122,122,122,122,MLG42,20,7,MLG42,14,3,0,4,4.821997046470642,0.3444283604621887
437,437,437,437,437,437,437,437,437,437,437,437,1-6980,6,15,1-6980,128,33,0,24,43.93198227882385,0.34321861155331135
457,457,457,457,457,457,457,457,457,457,457,457,1-8503,11,3,1-8503,16,5,0,1,5.4554992616176605,0.3409687038511038
537,537,537,537,537,537,537,537,537,537,537,537,1-4494,20,7,1-4494,16,5,0,1,5.4554992616176605,0.3409687038511038
172,172,172,172,172,172,172,172,172,172,172,172,1-8573,1,21,1-8573,184,58,0,10,62.554992616176605,0.33997278595748154
103,103,103,103,103,103,103,103,103,103,103,103,1-8820,6,15,1-8820,83,20,0,18,28.19898670911789,0.3397468278206975
327,327,327,327,327,327,327,327,327,327,327,327,P-16616,8,19,P-16616,28,9,0,1,9.45549926161766,0.33769640220063074
479,479,479,479,479,479,479,479,479,479,479,479,1-9286,4,14,1-9286,81,25,0,5,27.277496308088303,0.3367592136801025
193,193,193,193,193,193,193,193,193,193,193,193,1-9553,9,13,1-9553,23,5,0,6,7.732995569705963,0.336217198682868
366,366,366,366,366,366,366,366,366,366,366,366,1-5163,18,6,1-5163,16,4,0,3,5.366497784852982,0.33540611155331135
496,496,496,496,496,496,496,496,496,496,496,496,1-3176,1,17,1-3176,3,1,0,0,1.0,0.3333333333333333
551,551,551,551,551,551,551,551,551,551,551,551,1-9838,1,17,1-9838,3,1,0,0,1.0,0.3333333333333333
490,490,490,490,490,490,490,490,490,490,490,490,1-3551,1,17,1-3551,6,2,0,0,2.0,0.3333333333333333
340,340,340,340,340,340,340,340,340,340,340,340,1-3362,9,13,1-3362,117,27,0,26,38.842980802059174,0.33199128890648866
380,380,380,380,380,380,380,380,380,380,380,380,1-7004,9,13,1-7004,381,70,0,123,126.02640917897224,0.33077797684769616
55,55,55,55,55,55,55,55,55,55,55,55,1-8095,4,14,1-8095,46,12,0,7,15.188494831323624,0.3301846702461657
334,334,334,334,334,334,334,334,334,334,334,334,1-20641,4,14,1-20641,16,3,0,5,5.277496308088303,0.3298435192555189
253,253,253,253,253,253,253,253,253,253,253,253,1-4649,18,6,1-4649,244,67,0,29,80.20947858691216,0.3287273712578367
272,272,272,272,272,272,272,272,272,272,272,272,1-1570,12,5,1-1570,142,33,0,30,46.664977848529816,0.3286266045671114
502,502,502,502,502,502,502,502,502,502,502,502,1-20012,6,15,1-20012,12,3,0,2,3.910998523235321,0.3259165436029434
153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,7,1-1350,195,52,0,25,63.38748154044151,0.3250640078997001
520,520,520,520,520,520,520,520,520,520,520,520,1-2034,11,3,1-2034,16,2,0,7,5.188494831323624,0.3242809269577265
504,504,504,504,504,504,504,504,504,504,504,504,1-5425,14,21,1-5425,17,5,0,1,5.4554992616176605,0.3209117212716271
506,506,506,506,506,506,506,506,506,506,506,506,1-6227,14,21,1-6227,52,7,0,21,16.56548449397087,0.31856700949943983
39,39,39,39,39,39,39,39,39,39,39,39,1-7467,14,21,1-7467,64,14,0,14,20.376989662647247,0.31839046347886324
375,375,375,375,375,375,375,375,375,375,375,375,MLG14,3,20,MLG14,232,38,0,76,72.6179438829422,0.31300837880578536
