timestamp,raw_hypervolume,normalized_hypervolume,num_pareto_points
2025-04-15 11:56:04.511298,1.9008000000000004e+29,2.2000000000000003e-05,1
2025-04-15 11:57:25.879776,1.9008000000000004e+29,0.0,2
2025-04-15 11:58:13.396054,1.9008000000000004e+29,0.0,2
2025-04-15 11:58:25.076123,1.9008000000000004e+29,2.2000000000000003e-05,3
2025-04-15 11:59:45.712596,5.7024e+29,0.0,4
2025-04-15 11:59:52.832638,1.9008000000000004e+29,2.2000000000000003e-05,5
2025-04-15 12:00:39.248910,0.0,4.4000000000000006e-05,5
2025-04-15 12:00:39.276910,0.0,4.4000000000000006e-05,5
2025-04-15 12:00:39.668912,3.801600000000001e+29,4.4000000000000006e-05,6
2025-04-15 12:00:40.072914,5.7024e+29,0.0,7
2025-04-15 12:01:03.321051,1.9008000000000004e+29,2.2000000000000003e-05,7
2025-04-15 12:01:03.945054,0.0,6.6e-05,7
2025-04-15 12:02:18.089489,5.7024e+29,6.6e-05,8
2025-04-15 12:02:48.813669,1.9008000000000004e+29,6.6e-05,8
2025-04-15 12:03:43.081987,3.801600000000001e+29,8.800000000000001e-05,8
2025-04-15 12:04:35.166291,7.603200000000002e+29,2.2000000000000003e-05,8
2025-04-15 12:06:33.142982,7.603200000000002e+29,6.6e-05,9
2025-04-15 12:08:01.159497,3.801600000000001e+29,6.6e-05,9
2025-04-15 12:10:25.368340,5.7024e+29,8.800000000000001e-05,9
2025-04-15 12:11:11.984612,9.504000000000001e+29,6.6e-05,9
2025-04-15 12:12:08.580943,1.14048e+30,0.00011000000000000002,9
2025-04-15 12:12:16.036986,7.603200000000002e+29,0.0,9
2025-04-15 12:14:08.941645,5.7024e+29,2.2000000000000003e-05,10
2025-04-15 12:16:41.102533,5.7024e+29,6.6e-05,10
2025-04-15 12:19:09.143409,5.7024e+29,8.800000000000001e-05,10
2025-04-15 12:19:27.655520,5.7024e+29,8.800000000000001e-05,10
2025-04-15 12:21:04.940104,3.801600000000001e+29,6.6e-05,10
2025-04-15 12:21:05.832109,7.603200000000002e+29,8.800000000000001e-05,11
2025-04-15 12:21:53.528395,1.9008000000000004e+29,0.00011000000000000002,11
2025-04-15 12:21:53.588395,3.801600000000001e+29,4.4000000000000006e-05,12
2025-04-15 12:22:50.420736,5.7024e+29,8.800000000000001e-05,12
2025-04-15 12:23:19.216908,3.801600000000001e+29,6.6e-05,12
2025-04-15 12:23:27.992961,7.603200000000002e+29,6.6e-05,12
2025-04-15 12:23:31.316981,7.603200000000002e+29,8.800000000000001e-05,12
